number,date_time,temp,RH,site,block,treatment
1,6/19/2017 8:00,70.372,60.567,CBE,3,prairie
2,6/19/2017 8:30,70.286,60.59,CBE,3,prairie
3,6/19/2017 9:00,70.286,60.59,CBE,3,prairie
4,6/19/2017 9:30,73.99,67.361,CBE,3,prairie
5,6/19/2017 10:00,81.952,55.787,CBE,3,prairie
6,6/19/2017 10:30,81.509,53.506,CBE,3,prairie
7,6/19/2017 11:00,81.909,50.121,CBE,3,prairie
8,6/19/2017 11:30,81.509,51.532,CBE,3,prairie
9,6/19/2017 12:00,75.681,55.438,CBE,3,prairie
10,6/19/2017 12:30,80.316,54.205,CBE,3,prairie
11,6/19/2017 13:00,73.688,56.582,CBE,3,prairie
12,6/19/2017 13:30,68.785,72.777,CBE,3,prairie
13,6/19/2017 14:00,77.945,50.916,CBE,3,prairie
14,6/19/2017 14:30,75.942,53.955,CBE,3,prairie
15,6/19/2017 15:00,77.509,49.801,CBE,3,prairie
16,6/19/2017 15:30,76.419,53.584,CBE,3,prairie
17,6/19/2017 16:00,77.596,51.176,CBE,3,prairie
18,6/19/2017 16:30,77.203,49.364,CBE,3,prairie
19,6/19/2017 17:00,77.727,48.25,CBE,3,prairie
20,6/19/2017 17:30,78.602,49.081,CBE,3,prairie
21,6/19/2017 18:00,74.943,51.958,CBE,3,prairie
22,6/19/2017 18:30,70.974,57.806,CBE,3,prairie
23,6/19/2017 19:00,63.648,68.95,CBE,3,prairie
24,6/19/2017 19:30,63.903,81.696,CBE,3,prairie
25,6/19/2017 20:00,66.729,72.874,CBE,3,prairie
26,6/19/2017 20:30,71.19,59.633,CBE,3,prairie
27,6/19/2017 21:00,60.904,74.895,CBE,3,prairie
28,6/19/2017 21:30,60.217,75.243,CBE,3,prairie
29,6/19/2017 22:00,59.916,76.673,CBE,3,prairie
30,6/19/2017 22:30,59.959,77.491,CBE,3,prairie
31,6/19/2017 23:00,59.788,80.641,CBE,3,prairie
32,6/19/2017 23:30,58.885,83.492,CBE,3,prairie
