number,date_time,temp,RH,site,block,treatment
1,6/19/2017 8:00,70.372,60.719,CBE,3,corn
2,6/19/2017 8:30,70.286,60.681,CBE,3,corn
3,6/19/2017 9:00,70.286,60.712,CBE,3,corn
4,6/19/2017 9:30,73.126,68.111,CBE,3,corn
5,6/19/2017 10:00,78.822,60.517,CBE,3,corn
6,6/19/2017 10:30,80.139,58.428,CBE,3,corn
7,6/19/2017 11:00,81.111,57.572,CBE,3,corn
8,6/19/2017 11:30,80.802,57.202,CBE,3,corn
9,6/19/2017 12:00,75.074,56.043,CBE,3,corn
10,6/19/2017 12:30,78.514,52.705,CBE,3,corn
11,6/19/2017 13:00,73.731,54.407,CBE,3,corn
12,6/19/2017 13:30,70.93,66.315,CBE,3,corn
13,6/19/2017 14:00,78.165,49.338,CBE,3,corn
14,6/19/2017 14:30,75.594,53.142,CBE,3,corn
15,6/19/2017 15:00,77.203,49.907,CBE,3,corn
16,6/19/2017 15:30,76.071,49.983,CBE,3,corn
17,6/19/2017 16:00,77.727,50.359,CBE,3,corn
18,6/19/2017 16:30,76.942,47.425,CBE,3,corn
19,6/19/2017 17:00,77.464,48.872,CBE,3,corn
20,6/19/2017 17:30,78.69,46.773,CBE,3,corn
21,6/19/2017 18:00,75.029,50.097,CBE,3,corn
22,6/19/2017 18:30,71.577,55.757,CBE,3,corn
23,6/19/2017 19:00,63.262,71.809,CBE,3,corn
24,6/19/2017 19:30,66.344,80.934,CBE,3,corn
25,6/19/2017 20:00,67.285,73.512,CBE,3,corn
26,6/19/2017 20:30,71.317,58.02,CBE,3,corn
27,6/19/2017 21:00,61.72,72.763,CBE,3,corn
28,6/19/2017 21:30,61.032,73.174,CBE,3,corn
29,6/19/2017 22:00,60.69,74.984,CBE,3,corn
30,6/19/2017 22:30,60.69,75.861,CBE,3,corn
31,6/19/2017 23:00,60.433,78.218,CBE,3,corn
32,6/19/2017 23:30,59.401,81.641,CBE,3,corn
33,6/20/2017 0:00,58.712,84.963,CBE,3,corn
